X,Y,Store_Name,Address,Address_Line__2,City,State,Zip5,County,Longitude,Latitude,ObjectId
-80.000671,40.440681,Kum & Go,262 5th Ave,,Pittsburgh,PA,15222,ALLEGHENY,-80.000671,40.440681,80116
-79.73423,40.604538,Par Mar Store 200,101 Mile Lock Ln,,Brackenridge,PA,15014,ALLEGHENY,-79.73423,40.604538,80193
-80.078667,40.472092,Speedway 6721,50 Angelina Ave,,McKees Rocks,PA,15136,ALLEGHENY,-80.078667,40.472092,80196
-80.133263,40.452312,Bp Gas Station,2 Beaver Grade Rd,,McKees Rocks,PA,15136,ALLEGHENY,-80.133263,40.452312,80371
-80.050117,40.354679,The Fresh Market 138,1551 Washington Rd,,Mt Lebanon,PA,15228,ALLEGHENY,-80.050117,40.354679,80568
-79.812927,40.333549,Speedway 2911,1200 Long Run Rd,,White Oak,PA,15131,ALLEGHENY,-79.812927,40.333549,80586
-79.760628,40.600372,Family Dollar 12193,140 W 7th Ave,,Tarentum,PA,15084,ALLEGHENY,-79.760628,40.600372,81684
-79.802254,40.567204,Aldi 69060,1040 Village Center Dr,,Tarentum,PA,15084,ALLEGHENY,-79.802254,40.567204,81796
-79.886826,40.444298,CVS Pharmacy 4133,520 Penn Ave,,Wilkinsburg,PA,15221,ALLEGHENY,-79.886826,40.444298,81918
-79.889519,40.44521,Getgo 3106,408 Penn Ave,,Wilkinsburg,PA,15221,ALLEGHENY,-79.889519,40.44521,81923
-79.849854,40.419338,Stop & Shop Convenience,2110 Ardmore Blvd,,Pittsburgh,PA,15221,ALLEGHENY,-79.849854,40.419338,81925
-80.158859,40.444332,Sheetz 353,5410 Campbells Run Rd,,Pittsburgh,PA,15205,ALLEGHENY,-80.158859,40.444332,82018
-80.163704,40.451958,DOLLAR TREE 0228,1360 Park Manor Blvd,,Pittsburgh,PA,15205,ALLEGHENY,-80.163704,40.451958,82025
-80.07106,40.439602,Dollar Tree 4287,47 Walsh Rd,,Pittsburgh,PA,15205,ALLEGHENY,-80.07106,40.439602,82153
-80.057198,40.47398,In & Out Corner Market ,300 Helen St,,McKees Rocks,PA,15136,ALLEGHENY,-80.057198,40.47398,83238
-80.07486,40.472652,East African Grocery Store,1008 Dohrman St,,McKees Rocks,PA,15136,ALLEGHENY,-80.07486,40.472652,83242
-80.072762,40.471928,Mama Lena's Italian Deli,647 Broadway Ave,,McKees Rocks,PA,15136,ALLEGHENY,-80.072762,40.471928,83258
-79.963829,40.471462,Lawrenceville Farmers Market,115 41st St,,Pittsburgh,PA,15201,ALLEGHENY,-79.963829,40.471462,83455
-80.053009,40.609337,GetGo 3032,10500 Perry Hwy,,Wexford,PA,15090,ALLEGHENY,-80.053009,40.609337,84246
